,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Dikson,100,RU,1601611270,85,73.51,80.55,1.35,8.22
1,Saint-Pierre,0,RE,1601611207,57,-21.34,55.48,24.0,1.5
2,Krasnosel'kup,100,RU,1601611518,85,65.7,82.47,6.85,5.34
3,Ushuaia,75,AR,1601610973,91,-54.8,-68.3,0.0,8.7
4,Chokurdakh,99,RU,1601611280,80,70.63,147.92,1.12,0.2
5,East London,75,ZA,1601611267,82,-33.02,27.91,13.0,2.6
6,Tuktoyaktuk,90,CA,1601611307,93,69.45,-133.04,5.0,5.7
7,Nikolskoye,50,RU,1601611287,86,59.7,30.79,7.78,3.0
8,Butaritari,0,KI,1601611273,72,3.07,172.79,27.4,6.64
9,Busselton,36,AU,1601611278,43,-33.65,115.33,17.22,7.33
10,Pandan,100,PH,1601611520,73,14.05,124.17,29.83,4.54
11,Thompson,75,CA,1601611293,92,55.74,-97.86,0.0,1.0
12,Rikitea,7,PF,1601611280,78,-23.12,-134.97,22.88,8.38
13,Grindavik,20,IS,1601611298,86,63.84,-22.43,4.0,5.1
14,Sharjah city,0,AE,1601611457,34,25.36,55.4,29.0,2.6
15,Northam,97,GB,1601611285,96,51.03,-4.22,10.0,5.36
16,Złotów,94,PL,1601611391,90,53.36,17.04,12.22,1.34
17,Bluff,100,NZ,1601611288,54,-46.6,168.33,15.56,4.02
18,Albany,21,US,1601611270,64,42.6,-73.97,12.22,0.94
19,Saint Paul Harbor,90,US,1601611292,87,57.79,-152.41,11.0,13.4
20,Itoman,40,JP,1601611245,55,26.12,127.67,30.0,7.2
21,Erenhot,0,CN,1601611325,45,43.65,111.98,8.1,7.19
22,Kapoeta,0,SS,1601611269,80,4.77,33.59,22.89,1.15
23,Clyde River,90,CA,1601611297,100,70.47,-68.59,-2.0,9.8
24,New Norfolk,24,AU,1601611295,49,-42.78,147.06,20.56,2.24
25,Nemuro,75,JP,1601611338,72,43.32,145.57,18.0,2.1
26,Antofagasta,90,CL,1601611524,76,-23.65,-70.4,14.0,3.6
27,Kargasok,94,RU,1601611524,92,59.06,80.86,9.17,2.59
28,Upernavik,3,GL,1601611266,91,72.79,-56.15,-5.16,7.68
29,Basco,0,PH,1601611284,72,20.45,121.97,27.66,8.14
30,Torbay,90,CA,1601611361,100,47.67,-52.73,15.56,4.6
31,Bengkulu,99,ID,1601611179,88,-3.8,102.27,24.77,4.87
32,Port Hardy,75,CA,1601611315,93,50.7,-127.42,14.0,2.19
33,Punta Arenas,0,CL,1601611264,63,-53.15,-70.92,-1.0,5.7
34,Vuktyl,98,RU,1601611526,79,63.86,57.31,8.88,3.03
35,Cherskiy,9,RU,1601611312,74,68.75,161.3,2.83,1.32
36,Lewisporte,75,CA,1601611526,87,49.25,-55.05,13.0,7.2
37,Port Lincoln,0,AU,1601611526,34,-34.73,135.87,27.29,10.14
38,Tiksi,86,RU,1601611318,94,71.69,128.87,-2.27,7.43
