,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Staritsa,98,RU,1601608300,73,56.51,34.94,8.63,2.95
1,Bluff,100,NZ,1601608184,59,-46.6,168.33,14.44,4.02
2,Klaksvík,100,FO,1601608192,100,62.23,-6.59,11.0,10.8
3,Rikitea,0,PF,1601608180,79,-23.12,-134.97,22.94,8.01
4,Mataura,100,NZ,1601608195,59,-46.19,168.86,14.44,4.02
5,Punta Arenas,0,CL,1601608095,63,-53.15,-70.92,-1.0,5.1
6,Jurilovca,11,RO,1601608414,81,44.77,28.87,12.22,2.6
7,Tasiilaq,100,GL,1601608193,98,65.61,-37.64,0.0,14.9
8,Ushuaia,75,AR,1601607953,92,-54.8,-68.3,-1.0,8.2
9,Ribeira Grande,89,PT,1601608200,84,38.52,-28.7,20.02,7.09
10,George Town,20,MY,1601608118,88,5.41,100.34,26.0,2.6
11,Cape Town,40,ZA,1601608205,58,-33.93,18.42,14.44,7.7
12,Dhone,73,IN,1601608390,82,15.42,77.88,24.59,5.67
13,Qaanaaq,97,GL,1601608218,81,77.48,-69.36,-8.58,2.18
14,Chaman,0,PK,1601608415,26,30.92,66.45,18.33,2.22
15,Albany,28,US,1601608183,65,42.6,-73.97,12.78,1.26
16,Isla Mujeres,90,MX,1601608416,94,21.23,-86.73,25.0,2.6
17,East London,100,ZA,1601608189,73,-33.02,27.91,14.9,8.01
18,Hermanus,64,ZA,1601608178,76,-34.42,19.23,13.33,2.68
19,Zeya,100,RU,1601608417,53,53.75,127.27,12.65,3.16
20,Vaini,75,TO,1601608200,94,-21.2,-175.2,23.0,4.6
21,Bundaberg,2,AU,1601608418,47,-24.85,152.35,27.78,4.1
22,Mitsamiouli,57,KM,1601608418,81,-11.38,43.28,25.38,4.68
23,Longyearbyen,100,SJ,1601608219,94,78.22,15.64,0.24,0.83
24,Brownwood,75,US,1601608298,42,31.71,-98.99,18.0,2.6
25,Lebu,1,CL,1601608198,83,-37.62,-73.65,7.52,3.05
26,Mahon,88,ES,1601608262,83,39.89,4.27,22.0,7.2
27,Naze,20,JP,1601608414,66,28.37,129.48,30.0,6.7
28,Busselton,41,AU,1601608179,46,-33.65,115.33,17.22,7.23
29,Pevek,100,RU,1601608236,79,69.7,170.31,2.44,6.47
30,Selfoss,1,IS,1601608419,92,63.93,-21.0,0.56,0.89
31,Mookane,30,BW,1601608420,67,-23.69,26.66,20.58,8.67
32,Thompson,75,CA,1601608246,92,55.74,-97.86,-1.0,0.97
33,Hobart,40,AU,1601607914,37,-42.88,147.33,20.56,10.8
34,Aldan,100,RU,1601608420,80,58.6,125.39,2.78,1.67
35,Strezhevoy,1,RU,1601608420,100,60.73,77.59,6.0,2.0
36,Nanortalik,100,GL,1601608202,84,60.14,-45.24,3.45,7.81
37,Victor Harbor,0,AU,1601608421,25,-35.57,138.62,30.0,10.3
38,Coahuayana Viejo,9,MX,1601608295,84,18.73,-103.68,25.62,0.8
39,Cairns,75,AU,1601608404,54,-16.92,145.77,30.0,10.8
40,Yulara,0,AU,1601608283,9,-25.24,130.99,33.0,6.2
41,Jamestown,75,US,1601607923,93,42.1,-79.24,8.33,3.1
42,Hirara,20,JP,1601608422,74,24.8,125.28,29.0,5.7
43,Malbork,0,PL,1601608269,100,54.04,19.03,12.22,4.76
44,Joensuu,90,FI,1601608423,100,62.6,29.76,7.78,2.6
45,Berlevåg,75,NO,1601608251,87,70.86,29.09,6.0,1.5
46,Ayan,0,RU,1601608424,55,56.45,138.17,10.48,1.24
47,São Filipe,100,CV,1601608241,79,14.9,-24.5,27.32,3.26
48,Chui,0,UY,1601608229,79,-33.7,-53.46,12.6,4.33
49,Salalah,20,OM,1601608280,83,17.02,54.09,24.0,2.1
50,Dikson,100,RU,1601608196,85,73.51,80.55,1.45,8.29
51,Hanover,20,DE,1601608425,100,52.37,9.73,11.67,1.0
52,Paita,70,PE,1601608425,86,-5.09,-81.11,16.96,3.8
53,Umm Kaddadah,0,SD,1601608426,50,13.6,26.69,28.81,2.75
54,Itaqui,67,BR,1601608426,88,-29.13,-56.55,23.4,6.5
55,Voyvozh,77,RU,1601608426,98,62.89,54.96,5.93,1.97
56,Vilyuysk,23,RU,1601608427,69,63.76,121.62,2.93,3.43
57,Rypefjord,31,NO,1601608427,87,70.63,23.67,8.0,7.2
58,Campbellton,0,CA,1601608427,91,48.01,-66.67,9.95,1.69
59,Ostend,20,BE,1601608427,87,51.22,2.91,9.44,5.1
60,Adré,26,TD,1601608427,69,13.47,22.2,23.21,0.77
61,Lagoa,100,PT,1601608190,83,39.05,-27.98,20.32,6.26
62,Belyye Berega,74,RU,1601608428,47,53.21,34.66,13.0,5.0
63,Avarua,0,CK,1601607991,83,-21.21,-159.78,26.0,7.2
64,Nizwá,0,OM,1601608186,20,22.93,57.53,28.53,1.5
65,Mastic,20,US,1601608317,82,40.8,-72.84,18.33,2.95
66,Port Alfred,100,ZA,1601608203,72,-33.59,26.89,14.39,9.95
67,Kidal,17,ML,1601608429,37,18.44,1.41,31.3,3.99
68,Kahului,90,US,1601608226,74,20.89,-156.47,29.0,6.2
69,Hilo,75,US,1601608188,70,19.73,-155.09,29.0,2.6
70,Aklavik,75,CA,1601608430,81,68.22,-135.01,6.0,2.1
71,Kalabo,41,ZM,1601608430,48,-14.97,22.68,22.52,1.39
72,Lavrentiya,100,RU,1601608215,86,65.58,-171.0,3.59,4.9
73,Butaritari,0,KI,1601608212,73,3.07,172.79,27.38,6.63
74,Chokurdakh,99,RU,1601608179,80,70.63,147.92,1.14,0.76
75,Lanzhou,97,CN,1601608215,60,36.06,103.79,16.67,2.02
76,Yellowknife,75,CA,1601608190,81,62.46,-114.35,6.0,4.1
77,Kenai,90,US,1601608431,62,60.55,-151.26,12.0,5.7
78,Ancud,31,CL,1601608107,80,-41.87,-73.82,2.78,2.6
79,Souillac,20,MU,1601608222,93,-20.52,57.52,18.0,3.6
80,Bandarbeyla,33,SO,1601608432,85,9.49,50.81,24.94,6.43
81,Araucária,0,BR,1601608432,64,-25.59,-49.41,23.89,2.6
82,Saint Anthony,1,US,1601608253,70,45.02,-93.22,7.22,1.5
83,Ilulissat,100,GL,1601608106,60,69.22,-51.1,5.0,6.2
84,Rosarito,1,MX,1601608433,60,32.33,-117.03,26.0,2.07
85,Inverell,0,AU,1601608433,26,-29.78,151.12,25.56,1.79
86,Flinders,0,AU,1601608255,41,-34.58,150.86,25.0,1.34
87,Inuvik,75,CA,1601608434,81,68.35,-133.72,6.0,2.1
88,Bengkulu,99,ID,1601608035,88,-3.8,102.27,25.63,5.34
89,Rørvik,0,NO,1601608434,72,64.86,11.24,12.94,10.93
90,Nuuk,100,GL,1601608435,56,64.18,-51.72,7.0,5.7
91,Sarankhola,99,BD,1601608435,83,22.31,89.79,29.07,2.79
92,Mahébourg,20,MU,1601608209,93,-20.41,57.7,18.0,3.6
93,Sinazongwe,0,ZM,1601608435,55,-17.26,27.46,23.78,2.29
94,Gamba,98,GA,1601608280,80,-2.65,10.0,24.08,1.89
95,Kiryat Gat,40,IL,1601608266,78,31.61,34.76,23.33,1.0
96,Arrondissement de Bar-le-Duc,100,FR,1601608436,93,48.75,5.17,10.0,4.6
97,Cabo San Lucas,5,MX,1601607967,78,22.89,-109.91,31.0,5.1
98,Upernavik,0,GL,1601608204,91,72.79,-56.15,-5.58,7.84
99,Ginir,69,ET,1601608436,86,7.13,40.7,14.72,0.31
100,Khatanga,99,RU,1601608202,95,71.97,102.5,0.48,6.29
101,Shuangyang,20,CN,1601608437,48,43.52,125.67,16.0,7.0
102,Lorengau,100,PG,1601608237,80,-2.02,147.27,27.34,2.85
103,Vao,7,NC,1601608225,70,-22.67,167.48,21.26,5.39
104,Richards Bay,83,ZA,1601608252,79,-28.78,32.04,17.25,3.76
105,Barrow,90,US,1601608186,86,71.29,-156.79,1.0,7.7
106,Kavieng,100,PG,1601608217,78,-2.57,150.8,27.85,5.83
107,Capinzal,13,BR,1601608438,58,-27.34,-51.61,22.0,1.8
108,Castro,0,BR,1601608218,49,-24.79,-50.01,21.77,0.67
109,Flin Flon,100,CA,1601608254,79,54.77,-101.86,3.16,1.79
110,Nyurba,19,RU,1601608439,72,63.28,118.33,2.64,3.7
111,Mar del Plata,75,AR,1601608179,66,-38.0,-57.56,9.0,5.7
112,Itarema,20,BR,1601608196,82,-2.92,-39.92,25.94,7.88
113,Constitución,0,CL,1601608226,80,-35.33,-72.42,7.94,3.76
114,Salisbury,100,GB,1601608440,93,51.07,-1.8,10.56,6.2
115,Coyhaique,100,CL,1601608272,74,-45.58,-72.07,1.0,2.1
116,Burdur,1,TR,1601608440,65,37.72,30.29,7.0,1.5
117,Omboué,69,GA,1601608257,84,-1.57,9.26,23.42,2.24
118,High Level,20,CA,1601608441,53,58.52,-117.14,11.0,1.0
119,Hong Kong,37,HK,1601608031,75,22.29,114.16,28.89,1.34
120,Hanna,20,CA,1601608441,56,51.63,-111.9,12.81,3.1
121,Calama,40,CL,1601608441,17,-22.47,-68.93,14.0,1.5
122,Saint George,1,US,1601608361,7,37.1,-113.58,29.0,5.1
123,Carnarvon,53,AU,1601607951,64,-24.87,113.63,22.0,6.2
124,Tuktoyaktuk,90,CA,1601608191,93,69.45,-133.04,5.0,5.7
125,Chicama,30,PE,1601608442,82,-7.84,-79.15,16.89,2.7
126,Nosivka,85,UA,1601608442,66,50.93,31.58,12.25,4.56
127,Leningradskiy,100,RU,1601608183,95,69.38,178.42,2.01,8.95
128,Sinnamary,6,GF,1601608443,82,5.38,-52.95,26.29,2.79
129,Basco,0,PH,1601608443,74,20.45,121.97,27.59,8.18
130,Dombarovskiy,0,RU,1601608443,54,50.76,59.54,7.27,2.95
131,Caravelas,90,BR,1601608186,88,-17.71,-39.25,22.1,2.41
132,Krasnyy Chikoy,100,RU,1601608444,74,50.36,108.75,1.29,3.99
133,Yüksekova,20,TR,1601608445,71,37.57,44.29,10.0,2.1
134,Dzilam González,100,MX,1601608445,93,21.28,-88.93,24.61,3.03
135,Puerto Ayora,65,EC,1601608210,88,-0.74,-90.35,20.0,2.24
